cg,time (s),mass (g),impulse (newtons)
375.5,0,4659.2,0
375.5,0.082,4606.28,2651.86
375.5,0.249,4385.52,2780.28
375.5,0.416,4157.9,2820.73
375.5,0.583,3927.73,2843.01
375.5,0.751,3695.07,2847.76
375.5,0.918,3463.47,2851.22
375.5,1.084,3232.97,2854.74
375.5,1.252,2999.26,2861.69
375.5,1.42,2765.42,2858.09
375.5,1.586,2534.79,2851.09
375.5,1.754,2301.93,2844.62
375.5,1.922,2069.9,2830.86
375.5,2.089,1840.87,2804.71
375.5,2.255,1615.85,2765.8
375.5,2.423,1391.96,2710.51
375.5,2.591,1172.88,2648.26
375.5,2.757,961.395,2586.91
375.5,2.925,752.577,2520.79
375.5,3.093,548.856,2462.22
375.5,3.259,351.635,2419.94
375.5,3.426,176.28,1894.94
375.5,3.594,65.7738,808.043
375.5,3.761,21.4585,282.403
375.5,3.928,6.00408,97.876
375.5,4.096,1.00131,24.492
375.5,4.264,0,0
